saison,team_id,CC1_npxg,CC1d_npxg_gegen,npxg_diff,CC2_box_zugriffsrate,CC2d_box_zugriffsrate_gegen,CC3_abschlussqualitaet,CC3d_abschlussqualitaet_gegen,wy_totals_general_shots,schuesse_gegen,xpoints,spiele,punkte,tore,gegentore,tordifferenz,ppg,platz,aufsteiger,relegation,top3,top6,team
2017/18,2448,1.332185294117647,1.3258176470588234,0.0063676470588235334,0.10980486333362552,0.10435451222145307,0.11870588235294116,0.11376470588235293,11.941176470588236,12.852941176470589,1.3731558823529413,34,48,37,40,-3,1.411764705882353,6,0,0,0,1,Bochum
2017/18,2456,1.097635294117647,1.5118117647058824,-0.41417647058823526,0.09550598669973062,0.12173399910591991,0.11967647058823529,0.1121764705882353,9.911764705882353,14.735294117647058,1.03365,34,35,42,55,-13,1.0294117647058822,18,0,0,0,0,Kaiserslautern
2017/18,2458,1.5426117647058823,1.2179235294117647,0.32468823529411767,0.11790658057551831,0.10166501101261027,0.11900000000000001,0.11520588235294117,13.558823529411764,11.764705882352942,1.5154058823529413,34,60,61,39,22,1.7647058823529411,2,1,0,1,1,Nürnberg
2017/18,2459,1.4422176470588237,1.3669029411764706,0.07531470588235294,0.10764895865925614,0.10374767065467543,0.1063529411764706,0.11626470588235294,14.117647058823529,11.852941176470589,1.4275264705882353,34,48,51,47,4,1.411764705882353,4,0,0,0,1,Arminia Bielefeld
2017/18,2467,1.3915911764705882,1.2713823529411763,0.12020882352941176,0.10876968290493058,0.10185044537468955,0.11461764705882353,0.10852941176470587,13.176470588235293,12.705882352941176,1.4838970588235294,34,48,52,56,-4,1.411764705882353,7,0,0,0,0,MSV Duisburg
2017/18,2468,1.0517941176470589,1.2498029411764706,-0.19800882352941176,0.08191154263884849,0.11400780614036893,0.10908823529411765,0.10170588235294119,10.294117647058824,13.117647058823529,1.2170617647058823,34,40,35,49,-14,1.1764705882352942,16,0,0,0,0,Erzgebirge Aue
2017/18,2469,1.1812029411764706,1.3770058823529412,-0.19580294117647054,0.08197653071514231,0.10201063868632321,0.08920588235294118,0.12061764705882352,13.294117647058824,12.323529411764707,1.21275,34,40,37,48,-11,1.1764705882352942,15,0,0,0,0,Greuther Fürth
2017/18,2478,1.2683060606060608,1.2406242424242424,0.02768181818181817,0.11158203770056666,0.09523945812603492,0.11866666666666667,0.1146969696969697,12.303030303030303,11.727272727272727,1.4570727272727273,33,40,41,51,-10,1.2121212121212122,14,0,0,0,0,Dynamo Dresden
2017/18,2480,1.4763764705882354,1.4385911764705883,0.037785294117647104,0.10553232306099788,0.09133113673466309,0.10488235294117647,0.13779411764705882,15.176470588235293,11.058823529411764,1.4331147058823528,34,48,53,53,0,1.411764705882353,5,0,0,0,1,Jahn Regensburg
2017/18,2493,1.1594030303030303,1.2527939393939393,-0.09339090909090908,0.08993265091741735,0.10588196928319166,0.10169696969696969,0.09412121212121212,11.909090909090908,14.666666666666666,1.2523848484848483,33,38,36,42,-6,1.1515151515151516,17,0,0,0,0,Eintracht Braunschweig
2017/18,2495,1.2539382352941175,1.4197558823529413,-0.16581764705882354,0.10408574761146425,0.10332872801018154,0.11794117647058823,0.11223529411764706,11.264705882352942,13.617647058823529,1.2488970588235293,34,43,35,48,-13,1.2647058823529411,12,0,0,0,0,St. Pauli
2017/18,2496,1.659885294117647,1.2003088235294117,0.4595764705882353,0.12001404880149931,0.08661568475884113,0.13891176470588235,0.1108529411764706,13.588235294117647,11.5,1.6886764705882353,34,56,71,44,27,1.6470588235294117,3,0,1,1,1,Holstein Kiel
2017/18,2500,1.483379411764706,1.0333764705882353,0.4500029411764706,0.10681372753339899,0.09797254112370102,0.11967647058823529,0.09908823529411766,13.205882352941176,11.205882352941176,1.6490617647058823,34,47,54,46,8,1.3823529411764706,8,0,0,0,0,Union Berlin
2017/18,2502,1.4609323529411764,1.46975,-0.008817647058823508,0.10648096756059025,0.11791729539941226,0.12276470588235296,0.12373529411764705,12.735294117647058,13.352941176470589,1.4070617647058823,34,63,57,44,13,1.8529411764705883,1,1,0,1,1,Fortuna Düsseldorf
